trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.001}",25,0,-129.27348106099876,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'e': 0.999000499833375, 'a': 0.001}",35,22,-10.442310851753021,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'e': 0.9980019986673331, 'a': 0.001}",20,0,-62.765853176522064,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'e': 0.997004495503373, 'a': 0.001}",20,0,-110.71911064669705,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'e': 0.9960079893439915, 'a': 0.001}",25,0,-186.40054772154883,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'e': 0.9950124791926823, 'a': 0.001}",20,0,-134.81389705145907,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'e': 0.9940179640539353, 'a': 0.001}",20,0,-191.4623460297041,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
8,False,"{'e': 0.9930244429332351, 'a': 0.001}",20,0,-137.32962180347366,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
9,False,"{'e': 0.9920319148370607, 'a': 0.001}",25,0,-203.80442283394868,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
10,False,"{'e': 0.9910403787728836, 'a': 0.001}",25,0,-256.58448631923676,"{0: 9, 1: 2, 2: 8, 3: 3, 4: 3}",0
11,False,"{'e': 0.9900498337491681, 'a': 0.001}",25,7,-95.69873284398494,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 1}",1
12,False,"{'e': 0.9890602787753687, 'a': 0.001}",20,0,-167.328955789289,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
13,False,"{'e': 0.9880717128619305, 'a': 0.001}",25,0,-128.21398148202988,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
14,False,"{'e': 0.9870841350202876, 'a': 0.001}",20,0,-144.33607101953925,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
15,False,"{'e': 0.9860975442628619, 'a': 0.001}",25,0,-162.63653883505864,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
16,False,"{'e': 0.9851119396030626, 'a': 0.001}",25,0,-156.91750201310953,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
17,False,"{'e': 0.9841273200552851, 'a': 0.001}",20,0,-174.4365290083939,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
18,False,"{'e': 0.9831436846349096, 'a': 0.001}",30,0,-229.00279273007908,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
19,False,"{'e': 0.9821610323583008, 'a': 0.001}",30,0,-77.5969591362424,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
20,False,"{'e': 0.981179362242806, 'a': 0.001}",25,0,-165.62186291068653,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
21,False,"{'e': 0.9801986733067553, 'a': 0.001}",20,0,-98.43531675636504,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 1}",0
22,False,"{'e': 0.9792189645694596, 'a': 0.001}",20,0,-115.40572557755273,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
23,False,"{'e': 0.97824023505121, 'a': 0.001}",20,0,-139.69240765170917,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
24,False,"{'e': 0.9772624837732771, 'a': 0.001}",20,0,-123.17930803671668,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
25,False,"{'e': 0.9762857097579093, 'a': 0.001}",25,0,-161.3795629773102,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
26,False,"{'e': 0.9753099120283326, 'a': 0.001}",25,0,-140.3682625865646,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
27,False,"{'e': 0.9743350896087494, 'a': 0.001}",20,0,-94.16439899971044,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
28,False,"{'e': 0.9733612415243368, 'a': 0.001}",25,0,-142.05806848629712,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
29,False,"{'e': 0.9723883668012469, 'a': 0.001}",20,0,-102.61588735418626,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
30,False,"{'e': 0.9714164644666048, 'a': 0.001}",25,0,-151.78490059714676,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
31,False,"{'e': 0.9704455335485082, 'a': 0.001}",25,0,-98.0716716569539,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
32,False,"{'e': 0.9694755730760259, 'a': 0.001}",20,0,-105.9088190053832,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
33,False,"{'e': 0.9685065820791976, 'a': 0.001}",20,0,-120.83975366312254,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
34,False,"{'e': 0.967538559589032, 'a': 0.001}",20,12,-13.749269818352085,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'e': 0.9665715046375066, 'a': 0.001}",20,0,-53.337394369067,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
36,False,"{'e': 0.9656054162575665, 'a': 0.001}",20,5,-36.1279833384689,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
37,False,"{'e': 0.9646402934831231, 'a': 0.001}",25,0,-133.20427890747703,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
38,False,"{'e': 0.9636761353490535, 'a': 0.001}",30,0,-104.86506659391786,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
39,False,"{'e': 0.9627129408911995, 'a': 0.001}",20,0,-154.13753783053227,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
