trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-93.34185343046072,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-86.04285703688295,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-49.38471586809677,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-118.66641309982406,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",35,0,-151.35726261230408,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",30,0,-189.55549363950402,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-146.88160966371248,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-47.66026916654451,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'e': 1.0, 'a': 0.5}",30,0,-175.34129128964003,"{0: 18, 1: 1, 2: 5, 3: 5, 4: 1}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-132.67948398360164,"{0: 8, 1: 0, 2: 10, 3: 2, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-126.76759118030256,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-186.5427645519791,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
13,False,"{'e': 1.0, 'a': 0.5}",30,0,-123.88099785004131,"{0: 16, 1: 2, 2: 11, 3: 1, 4: 0}",0
14,False,"{'e': 1.0, 'a': 0.5}",20,0,-73.4800470210153,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'e': 1.0, 'a': 0.5}",30,0,-162.45703143335487,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'e': 1.0, 'a': 0.5}",30,0,-167.79282791333515,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
17,False,"{'e': 1.0, 'a': 0.5}",25,0,-190.3717837881155,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-111.4885634376326,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,2,-103.28749915298961,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 1}",1
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-130.90782483591795,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-35.10237880666072,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-148.244540030095,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-101.13267269295315,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",25,0,-151.3936815956919,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",25,0,-165.7914630340691,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-124.80439726672932,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,True,"{'e': 1.0, 'a': 0.5}",30,0,-232.80792591597321,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-57.72191437625437,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-119.21392950860515,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-200.68959680315257,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
